time_s,type,label,confidence,top,right,bottom,left
0.00,object,person,60.94,1,836,703,250
0.31,object,vase,56.25,12,791,693,266
0.58,object,person,62.11,33,833,703,308
0.85,object,person,55.08,64,816,703,307
1.11,object,person,67.97,64,811,703,302
1.37,face,Nikhil,52.94,104,624,280,448
1.37,object,person,52.34,161,834,720,330
2.10,object,person,66.80,74,815,703,298
2.35,object,person,57.42,69,815,698,298
2.60,object,person,63.28,69,815,698,298
2.85,object,person,65.62,69,819,698,294
3.15,face,Nikhil,49.73,104,624,280,448
3.15,object,person,55.08,156,834,725,330
3.88,object,cat,59.77,108,831,690,338
3.88,object,tv,50.00,5,1214,710,38
4.14,object,tv,51.17,0,1214,715,19
4.39,object,tv,58.59,10,1233,715,19
6.17,face,Nikhil,51.34,184,1108,328,964
7.19,face,Nikhil,53.55,200,892,376,720
7.19,object,tv,52.34,27,1168,710,180
7.93,face,Nikhil,55.72,200,928,376,756
7.93,face,Krishna,44.52,220,608,428,404
7.93,object,tv,52.34,43,1214,704,38
9.12,face,Nikhil,48.50,316,448,488,276
9.12,face,Nikhil,56.39,184,968,356,796
10.30,face,Nikhil,47.81,316,468,488,296
10.30,face,Nikhil,54.70,184,1104,356,928
13.51,object,person,55.08,-4,850,720,357
13.51,object,person,52.34,-20,1084,727,144
13.77,face,Nikhil,51.45,128,748,336,540
13.77,object,tv,52.34,10,1224,715,28
13.77,object,person,51.17,333,918,714,454
14.50,face,Nikhil,57.13,240,852,412,680
15.22,face,Nikhil,54.39,260,852,432,680
15.22,object,vase,55.08,435,1043,714,523
15.93,face,Nikhil,55.73,280,928,452,756
15.93,object,tv,53.91,10,1214,704,19
15.93,object,cat,50.00,428,1034,716,505
16.65,face,Nikhil,54.33,260,832,432,660
16.65,object,person,55.08,333,718,714,262
17.37,face,Nikhil,49.15,220,1008,392,832
17.37,object,tv,69.92,5,1216,710,94
18.11,object,tv,60.94,10,1262,704,28
18.35,object,tv,52.34,0,1243,704,28
18.63,object,person,56.25,79,1002,708,510
19.42,object,tv,55.08,10,1243,715,28
19.68,object,tv,60.94,-5,1243,710,9
19.94,object,tv,53.91,0,1262,704,28
