time_s,type,label,confidence,top,right,bottom,left
0.00,object,person,52.34,0,909,714,202
0.29,face,Stimson,46.30,0,544,164,372
1.03,object,person,66.80,-4,897,720,263
1.28,face,Krishna,50.72,0,584,164,412
1.28,object,person,57.42,4,934,718,249
2.02,face,Krishna,51.76,0,608,176,404
2.78,face,Krishna,52.44,0,608,196,404
3.48,object,person,59.77,0,882,714,296
3.73,object,person,59.77,0,846,714,286
3.99,object,person,65.62,-4,864,720,240
4.24,object,person,60.94,-10,846,715,231
4.49,object,person,67.97,27,901,708,286
4.74,object,person,62.11,284,1011,719,455
4.99,object,person,53.91,160,1094,705,639
6.49,object,person,58.59,129,1275,711,827
6.74,object,person,56.25,53,1274,713,773
6.99,object,person,67.97,166,1168,741,625
7.24,object,person,60.94,178,1107,730,515
7.49,face,Nikhil,53.76,220,796,392,624
7.49,object,cat,50.00,365,1077,713,523
8.23,face,Nikhil,64.05,220,892,392,720
8.97,face,Nikhil,56.51,220,872,392,700
8.97,object,person,69.92,-4,1121,720,317
9.75,face,Nikhil,51.03,220,912,392,736
9.75,face,Krishna,59.64,260,488,432,316
9.75,object,person,53.91,378,1077,710,573
9.75,object,cell phone,52.34,168,545,559,297
10.95,object,person,68.75,181,778,717,174
11.20,object,person,67.97,181,778,708,174
11.20,object,person,52.34,130,1011,714,68
11.45,face,Krishna,58.47,280,544,452,372
11.45,object,vase,58.59,442,782,717,210
12.20,object,person,65.62,180,794,706,183
12.20,object,person,55.08,126,1009,718,51
12.44,object,person,71.09,173,948,719,314
12.70,object,person,53.91,198,1040,708,484
12.95,object,person,60.94,127,1200,716,676
13.45,object,refrigerator,50.00,5,1167,721,9
13.70,object,refrigerator,50.00,5,1176,721,18
13.94,object,toilet,50.00,0,1136,715,176
14.69,object,person,52.34,10,932,715,32
14.95,object,person,57.42,0,1066,715,13
15.20,object,person,71.09,47,1004,717,121
15.20,object,person,51.17,65,608,708,151
15.45,object,person,69.92,122,937,726,268
15.70,object,person,73.05,168,1003,714,379
15.95,face,Stimson,51.76,260,736,432,564
15.95,object,handbag,55.08,330,992,717,440
16.68,object,person,57.42,200,1001,718,511
16.94,object,person,66.80,248,1082,741,594
17.18,object,person,67.97,249,1092,721,576
17.43,object,person,75.00,247,1081,756,569
17.69,object,person,68.75,249,1077,750,557
17.94,object,person,66.80,253,1060,746,556
18.20,object,person,64.45,254,1056,740,544
18.46,object,person,58.59,267,1037,716,464
18.71,object,person,60.94,257,1022,713,467
18.96,object,person,60.94,264,1015,713,451
19.21,object,person,59.77,267,1010,716,445
19.46,object,person,57.42,267,1019,716,436
19.71,object,person,59.77,270,1042,720,477
19.96,object,person,64.45,260,1033,717,422
