time_s,type,label,confidence,top,right,bottom,left
0.00,face,Sharon,51.87,12,608,220,404
0.00,object,person,73.83,0,852,725,187
0.76,face,Sharon,50.06,12,608,220,404
0.76,object,person,71.88,0,843,725,187
1.54,face,Sharon,52.77,12,608,220,404
1.54,object,person,73.05,0,843,725,178
2.28,face,Sharon,50.84,28,584,200,412
2.28,object,person,73.83,0,837,725,193
3.02,face,Sharon,51.06,48,564,220,392
3.02,object,person,73.83,0,841,725,217
3.75,face,Sharon,52.33,88,564,260,392
3.75,object,person,69.92,11,847,725,202
4.48,object,person,71.88,90,891,719,398
4.73,object,person,57.42,63,1099,720,535
4.99,object,person,62.11,166,1149,706,699
4.99,object,person,50.00,55,1274,717,660
5.26,object,person,58.59,88,1246,716,868
5.51,object,person,62.11,181,1274,713,962
5.51,object,refrigerator,59.77,10,1067,715,31
5.76,object,refrigerator,68.75,16,1130,721,26
6.02,object,refrigerator,63.28,10,1157,715,18
6.27,object,refrigerator,64.45,21,1153,715,99
6.51,face,Nikhil,46.66,200,1160,376,988
6.51,object,refrigerator,57.42,16,1149,710,45
6.51,object,person,53.91,134,1275,709,973
7.27,face,Nikhil,57.61,240,988,412,816
7.27,object,person,67.97,168,1264,713,706
8.01,face,Nikhil,63.71,280,1028,424,884
8.01,face,Krishna,55.71,280,488,452,316
8.01,object,person,73.05,242,1218,720,714
8.01,object,person,71.88,213,709,711,140
9.22,face,Nikhil,64.67,280,964,424,820
9.22,face,Krishna,67.29,288,632,496,424
9.22,object,person,75.00,269,1173,717,700
9.22,object,person,73.05,228,811,723,219
10.44,face,Krishna,62.50,316,640,488,468
10.44,face,Nikhil,64.41,280,980,424,836
10.44,object,person,73.05,251,1197,721,701
10.44,object,person,69.92,239,820,718,256
11.68,face,Krishna,63.27,316,660,488,488
11.68,face,Nikhil,60.93,280,996,424,852
11.68,object,person,69.92,267,1197,715,693
11.68,object,person,69.92,239,898,718,258
12.94,object,person,65.62,163,955,718,455
13.19,object,refrigerator,58.59,16,1132,721,62
13.44,object,refrigerator,60.94,10,1139,715,17
13.69,object,refrigerator,59.77,10,1186,715,28
13.94,object,refrigerator,55.08,5,1147,721,143
14.19,object,person,62.11,-5,963,710,20
14.44,object,person,63.28,5,1003,721,0
14.44,object,remote,52.34,367,763,436,651
14.69,object,person,69.92,-4,953,720,123
14.94,object,person,73.83,59,936,718,260
15.20,object,person,73.83,145,982,706,300
15.44,object,person,75.78,152,943,727,307
15.69,face,Stimson,50.97,240,660,412,488
15.69,object,person,73.83,176,928,725,302
16.44,face,Stimson,50.68,312,708,456,564
16.44,object,person,73.05,247,958,724,446
17.20,face,Stimson,50.97,312,740,456,596
17.20,object,person,75.00,265,950,720,462
17.93,face,Stimson,55.58,296,708,440,564
17.93,object,person,71.88,256,946,714,447
18.67,face,Stimson,52.74,296,708,440,564
18.67,object,person,75.78,255,974,725,446
19.43,object,person,68.75,217,995,713,463
19.68,object,person,68.75,226,981,712,416
19.93,object,person,69.92,228,975,716,389
