time_s,type,label,confidence,top,right,bottom,left
0.00,object,person,68.75,48,813,708,245
0.29,object,person,73.83,38,818,708,240
0.57,object,person,73.83,27,827,708,240
0.81,object,person,75.00,48,822,708,245
1.06,face,Sharon,47.77,104,584,280,412
1.06,object,person,51.17,268,830,723,258
1.78,face,Sharon,50.52,104,604,280,432
2.49,object,person,73.83,59,818,708,249
2.75,object,person,77.73,74,831,703,254
3.00,object,person,73.83,74,813,703,254
3.25,face,Krishna,47.61,136,580,280,436
3.96,object,person,71.88,53,850,703,245
4.21,object,person,76.56,94,838,694,313
4.46,object,person,68.75,162,879,690,514
4.96,object,person,56.25,223,1130,713,785
5.21,object,person,59.77,280,1247,726,923
6.47,face,Nikhil,54.18,260,948,432,776
7.23,face,Nikhil,61.20,248,1076,392,932
7.23,face,Krishna,57.10,16,984,264,732
7.23,object,person,59.77,58,1269,710,531
7.23,object,person,50.00,550,1050,719,882
8.46,face,Nikhil,47.13,128,1000,336,796
9.18,face,Nikhil,60.11,240,872,412,700
9.18,object,person,63.28,98,1252,709,514
9.18,object,person,56.25,96,1217,535,913
9.92,face,Nikhil,55.53,240,892,412,720
9.92,object,person,57.42,62,1221,708,505
9.92,object,person,51.17,80,1233,517,947
10.66,object,person,66.80,81,1258,713,565
10.91,object,person,66.80,126,1205,724,544
11.16,object,person,71.88,150,1146,734,567
12.93,object,person,60.94,-10,983,726,128
13.18,object,person,55.08,0,998,714,402
13.44,face,Stimson,49.91,184,796,356,624
13.44,object,person,66.80,131,1110,721,594
14.18,face,Stimson,55.06,240,1008,412,832
14.18,object,person,64.45,182,1236,748,658
14.91,face,Stimson,45.88,260,912,432,736
14.91,object,person,60.94,195,1172,705,542
15.64,face,Stimson,44.93,280,872,452,700
15.64,object,person,63.28,229,1123,717,538
16.37,object,person,67.97,213,1128,708,533
16.61,object,person,64.45,225,1118,713,543
16.86,object,person,67.97,233,1117,713,523
17.11,object,person,65.62,217,1111,713,507
17.38,object,person,66.80,221,976,717,460
17.63,object,person,64.45,201,1081,711,420
17.87,object,person,68.75,125,1012,725,435
18.13,object,person,71.09,95,943,714,458
18.38,object,person,67.97,79,1045,719,439
18.63,object,person,67.97,53,1026,713,449
18.88,object,person,66.80,38,1022,708,453
19.13,object,person,60.94,22,1026,714,458
19.37,object,person,60.94,17,1026,708,458
19.62,object,person,63.28,17,1031,708,453
19.87,object,person,62.11,5,1068,719,453
